"","TPL_FAMILY","TPL_ORDER","APGIII_NUMBER"
"539","Emblingiaceae","Brassicales",266
"540","Emmotaceae","NearGarryales",NA
"541","Empetraceae","Ericales",NA
"542","Encephalartaceae","Cycadales",NA
"543","Engelhardtiaceae","Fagales",NA
"544","Enhalaceae","Alismatales",NA
"545","Epacridaceae","Ericales",NA
"546","Ephedraceae","Gnetales",NA
"547","Ephemeranthaceae","Commelinales",NA
"548","Epilobiaceae","Myrtales",NA
"549","Epimediaceae","Ranunculales",NA
"550","Eragrostidaceae","Poales",NA
"551","Eremolepidaceae","Santalales",NA
"552","Eremosynaceae","Escalloniales",NA
"553","Ericaceae","Ericales",344
"554","Erinaceae","Lamiales",NA
"555","Eriocaulaceae","Poales",95
"556","Eriogonaceae","Caryophyllales",NA
"557","Eriospermaceae","Asparagales",NA
"558","Erodiaceae","Geraniales",NA
"559","Erycibaceae","Solanales",NA
"560","Eryngiaceae","Apiales",NA
"561","Erysimaceae","Brassicales",NA
"562","Erythroniaceae","Liliales",NA
"563","Erythropalaceae","Santalales",NA
"564","Erythrospermaceae","Malpighiales",NA
"565","Erythroxylaceae","Malpighiales",182
"566","Escalloniaceae","Escalloniales",401
"567","Eschscholziaceae","Ranunculales",NA
"568","Eucomidaceae","Asparagales",NA
"569","Eucommiaceae","Garryales",348
"570","Eucryphiaceae","Oxalidales",NA
"571","Eugeniaceae","Myrtales",NA
"572","Euonymaceae","Celastrales",NA
"573","Eupatoriaceae","Asterales",NA
"574","Euphorbiaceae","Malpighiales",184
"575","Euphrasiaceae","Lamiales",NA
"576","Euphroniaceae","Malpighiales",195
"577","Eupomatiaceae","Magnoliales",20
"578","Eupteleaceae","Ranunculales",108
"579","Euryalaceae","Nymphaeales",NA
"580","Eustrephaceae","Asparagales",NA
"581","Euthemidaceae","Malpighiales",NA
"582","Eutocaceae","Boraginales",NA
"583","Evolvulaceae","Solanales",NA
"584","ex-Icacinaceae","NearGarryales",NA
"585","Exbucklandiaceae","Saxifragales",NA
"586","Exocarpaceae","Santalales",NA
"587","Fabaceae","Fabales",144
"588","Fagaceae","Fagales",157
"589","Falcatifoliaceae","Pinales",NA
"590","Ferulaceae","Apiales",NA
"591","Festucaceae","Poales",NA
"592","Ficaceae","Rosales",NA
"593","Ficoidaceae","Caryophyllales",NA
"594","Fitzroyaceae","Pinales",NA
"595","Flacourtiaceae","Malpighiales",NA
"596","Flagellariaceae","Poales",103
"597","Flindersiaceae","Sapindales",NA
"598","Foetidiaceae","Ericales",NA
"599","Forestieraceae","Lamiales",NA
"600","Fothergillaceae","Saxifragales",NA
"601","Fouquieriaceae","Ericales",326
"602","Fragariaceae","Rosales",NA
"603","Francoaceae","Geraniales",NA
"604","Frangulaceae","Rosales",NA
"605","Frankeniaceae","Caryophyllales",283
"606","Fraxinaceae","Lamiales",NA
"607","Fraxinellaceae","Sapindales",NA
"608","Freycinetiaceae","Pandanales",NA
"609","Fritillariaceae","Liliales",NA
"610","Fuchsiaceae","Myrtales",NA
"611","Fumariaceae","Ranunculales",NA
"612","Funkiaceae","Asparagales",NA
"613","Gaiadendraceae","Santalales",NA
"614","Galacinaceae","Ericales",NA
"615","Galanthaceae","Asparagales",NA
"616","Galaxiaceae","Asparagales",NA
"617","Galedupaceae","Fabales",NA
"618","Galeniaceae","Caryophyllales",NA
"619","Galiaceae","Gentianales",NA
"620","Garciniaceae","Malpighiales",NA
"621","Gardeniaceae","Gentianales",NA
"622","Gardneriaceae","Gentianales",NA
"623","Garryaceae","Garryales",349
"624","Geissolomataceae","Crossosomatales",228
"625","Geitonoplesiaceae","Asparagales",NA
"626","Gelsemiaceae","Gentianales",353
"627","Geniostomataceae","Gentianales",NA
"628","Gentianaceae","Gentianales",351
"629","Geoffroeaceae","Fabales",NA
"630","Geonomataceae","Arecales",NA
"631","Geosiridaceae","Asparagales",NA
"632","Geraniaceae","Geraniales",215
"633","Gerrardinaceae","Huerteales",244
"634","Gesneriaceae","Lamiales",367
"635","Gethyllidaceae","Asparagales",NA
"636","Gilliesiaceae","Asparagales",NA
"637","Ginalloaceae","Santalales",NA
"638","Ginkgoaceae","Ginkgoales",NA
"639","Gisekiaceae","Caryophyllales",303
"640","Gladiolaceae","Asparagales",NA
"641","Glaucidiaceae","Ranunculales",NA
"642","Glechomaceae","Lamiales",NA
"643","Glinaceae","Caryophyllales",NA
"644","Globulariaceae","Lamiales",NA
"645","Glyceriaceae","Poales",NA
"646","Gnaphaliaceae","Asterales",NA
"647","Gnetaceae","Gnetales",NA
"648","Gnidiaceae","Malvales",NA
"649","Goetzeaceae","Solanales",NA
"650","Gomortegaceae","Laurales",24
"651","Gomphiaceae","Malpighiales",NA
"652","Gomphrenaceae","Caryophyllales",NA
"653","Gonystylaceae","Malvales",NA
"654","Goodeniaceae","Asterales",398
"655","Gordoniaceae","Ericales",NA
"656","Gouaniaceae","Rosales",NA
"657","Goupiaceae","Malpighiales",203
"658","Gramineae","Poales",NA
"659","Gratiolaceae","Lamiales",NA
"660","Grewiaceae","Malvales",NA
"661","Greyiaceae","Geraniales",NA
"662","Grielaceae","Malvales",NA
"663","Grindeliaceae","Asterales",NA
"664","Griseliniaceae","Apiales",409
"665","Gronoviaceae","Cornales",NA
"666","Grossulariaceae","Saxifragales",132
"667","Grubbiaceae","Cornales",319
"668","Guaiacanaceae","Ericales",NA
"669","Guamatelaceae","Crossosomatales",NA
"670","Guettardaceae","Gentianales",NA
"671","Gunneraceae","Gunnerales",123
"672","Gustaviaceae","Ericales",NA
"673","Guttiferae","Malpighiales",NA
"674","Gyrocarpaceae","Laurales",NA
"675","Gyrostemonaceae","Brassicales",269
"676","Hachetteaceae","Santalales",NA
