"","KEW_FAMILY_EXT","QUERY","KEW_GENUS_EXT"
"383","Acanthaceae","Phidiasia","Odontonema"
"384","Acanthaceae","Phillipsia","Dyschoriste"
"385","Acanthaceae","Phlebophyllum","Strobilanthes"
"386","Acanthaceae","Phlogacanthus","Phlogacanthus"
"387","Acanthaceae","Physacanthus","Physacanthus"
"388","Acanthaceae","Plaesianthera","Brillantaisia"
"389","Acanthaceae","Plagiacanthus","Justicia"
"390","Acanthaceae","Plagiotheca","Isoglossa"
"391","Acanthaceae","Plegmatolemma","Justicia"
"392","Acanthaceae","Pleocaulus","Strobilanthes"
"393","Acanthaceae","Pleuroblepharis","Crossandra"
"394","Acanthaceae","Podorungia","Podorungia"
"395","Acanthaceae","Pogonospermum","Monechma"
"396","Acanthaceae","Poikilacanthus","Poikilacanthus"
"397","Acanthaceae","Polylychnis","Polylychnis"
"398","Acanthaceae","Polythrix","Crossandra"
"399","Acanthaceae","Polytrema","Ptyssiglottis"
"400","Acanthaceae","Populina","Populina"
"401","Acanthaceae","Porphyrocoma","Justicia"
"402","Acanthaceae","Pounguia","Whitfieldia"
"403","Acanthaceae","Pranceacanthus","Pranceacanthus"
"404","Acanthaceae","Pringleophytum","Holographis"
"405","Acanthaceae","Prionitis","Barleria"
"406","Acanthaceae","Psacadocalymma","Justicia"
"407","Acanthaceae","Psacadopaepale","Strobilanthes"
"408","Acanthaceae","Pseudacanthopale","Strobilanthopsis"
"409","Acanthaceae","Pseudaechmanhera","Pseudaechmanhera"
"410","Acanthaceae","Pseudaechmanthera","Strobilanthes"
"411","Acanthaceae","Pseuderanthemum","Pseuderanthemum"
"412","Acanthaceae","Pseudobarleria","Petalidium"
"413","Acanthaceae","Pseudo-Barleria","Barleria"
"414","Acanthaceae","Pseudoblepharis","Sclerochiton"
"415","Acanthaceae","Pseudocalyx","Pseudocalyx"
"416","Acanthaceae","Pseudodicliptera","Pseudodicliptera"
"417","Acanthaceae","Pseudoruellia","Pseudoruellia"
"418","Acanthaceae","Pseudostenosiphonium","Strobilanthes"
"419","Acanthaceae","Psilanthele","Psilanthele"
"420","Acanthaceae","Psiloesthes","Peristrophe"
"421","Acanthaceae","Pteracanthus","Strobilanthes"
"422","Acanthaceae","Pteroptychia","Strobilanthes"
"423","Acanthaceae","Ptyssiglottis","Ptyssiglottis"
"424","Acanthaceae","Pulchranthus","Pulchranthus"
"425","Acanthaceae","Pupilla","Justicia"
"426","Acanthaceae","Pyrrothrix","Strobilanthes"
"427","Acanthaceae","Ramusia","Peristrophe"
"428","Acanthaceae","Razisea","Razisea"
"429","Acanthaceae","Rhacodiscus","Justicia"
"430","Acanthaceae","Rhaphidospora","Justicia"
"431","Acanthaceae","Rhinacanthus","Rhinacanthus"
"432","Acanthaceae","Rhiphidosperma","Justicia"
"433","Acanthaceae","Rhombochlamys","Rhombochlamys"
"434","Acanthaceae","Rhyticalymma","Justicia"
"435","Acanthaceae","Rhytiglossa","Isoglossa"
"436","Acanthaceae","Ritonia","Ritonia"
"437","Acanthaceae","Rodatia","Justicia"
"438","Acanthaceae","Rostellularia","Justicia"
"439","Acanthaceae","Ruellia","Ruellia"
"440","Acanthaceae","Ruelliola","Brillantaisia"
"441","Acanthaceae","Ruelliopsis","Ruelliopsis"
"442","Acanthaceae","Rungia","Rungia"
"443","Acanthaceae","Ruspolia","Ruspolia"
"444","Acanthaceae","Ruttya","Ruttya"
"445","Acanthaceae","Saglorithys","Justicia"
"446","Acanthaceae","Saintpauliopsis","Saintpauliopsis"
"447","Acanthaceae","Salpinctium","Asystasia"
"448","Acanthaceae","Salpingantha","Salpixantha"
